HiRISKDB_ID,Name,Type,Category,Latitude,Longitude,min Elevation,Elevation,max Elevation,Country,Data owner/Data manager,Manager email,Data Access Quality,Data Access (URL),Data Publication,Activity,Physical Variables,Socioeconomic dimensions,Hazard data,Start Date,End Date,Temporal frequency (highest)
409000,DARWAZ,Single,Climate,38.433,70.8,,1320,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,1973,2007,daily
409010,KHWAHAN,Single,Climate,37.883,70.217,,1040,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,1973,2007,daily
409040,FAIZABAD,Single,Climate,37.117,70.517,,1200,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,Unknown,"T, P",NA,NA,1973,2013,daily
409050,SHIGHNAN,Single,Climate,37.567,71.5,,2265,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,1973,2009,daily
409180,ISKACHEM / ESHKASHEM,Single,Climate,36.7,71.567,,2620,,Afghanistan,ISD,,EXT_NET,"https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global, https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily",,,"T, P",NA,NA,1936,2017,daily
409200,ZEBAK,Single,Climate,36.5,71.25,,2600,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,1958,1997,daily
409320,JABUL-SARAJ,Single,Climate,35.133,69.25,,1630,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,1973,2019,daily
409323,PANJSHIR,Single,Climate,35.267,69.467,,1945,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,2007,2011,daily
409510,SAROBI,Single,Climate,34.583,69.75,,1020,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,1960,1961,daily
409585,CAMP BLESSING-NANGA,Single,Climate,34.983,70.9,,1020,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,2009,2011,daily
697094,FOB BOSTIC,Single,Climate,35.217,71.517,,1042,,Afghanistan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,1985,2012,daily
AF_1_00001,Dara-i-Hazara-SSS,Single,"Climate, Cryosphere",35.26923,69.67671,,2346,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2021,hourly
AF_1_00002,Kotal-i-Khawak-SSS,Single,"Climate, Cryosphere",35.66521,69.92521,,3109,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00003,Salang-i-Junobi-SSS,Single,"Climate, Cryosphere",35.29566,69.06596,,3152,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00004,Shakardara-SSS,Single,"Climate, Cryosphere",34.68319,68.97244,,2389,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2014,2023,hourly
AF_1_00005,Paghman-SSS,Single,"Climate, Cryosphere",34.63077,68.91122,,2831,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00006,Kotal-i-Tirah-SSS,Single,"Climate, Cryosphere",33.74449,69.15378,,1612,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2013,2023,hourly
AF_1_00007,Mirzaka-SSS,Single,"Climate, Cryosphere",33.78228,69.49916,,2522,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00008,Kotal-i-Setkandaw-SSS,Single,"Climate, Cryosphere",33.47811,69.37296,,2892,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2013,2023,hourly
AF_1_00009,Kotal-i-Shibar-SSS,Single,"Climate, Cryosphere",34.79564,67.48676,,3189,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2013,2023,hourly
AF_1_00010,Worsaj-SSS,Single,"Climate, Cryosphere",36.01874,70.02808,,2666,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2013,2023,hourly
AF_1_00011,Kalafgan-SSS,Single,"Climate, Cryosphere",36.41161,69.52226,,2243,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00012,Khash-SSS,Single,"Climate, Cryosphere",36.83643,70.72684,,3076,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2013,2019,hourly
AF_1_00013,Anjuman-SSS,Single,"Climate, Cryosphere",35.89108,70.40686,,3117,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00014,Shuhada-SSS,Single,"Climate, Cryosphere",37.05003,71.27211,,2230,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00015,Kohestan-SSS,Single,"Climate, Cryosphere",37.46913,70.61732,,2268,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2017,hourly
AF_1_00016,Dasht-i-Esh-SSS,Single,"Climate, Cryosphere",37.91608,70.51156,,2978,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2015,hourly
AF_1_00017,Eshkashem-SSS,Single,"Climate, Cryosphere",36.69576,71.57658,,2876,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2019,2023,hourly
AF_1_00018,Zibak-SSS,Single,"Climate, Cryosphere",36.53479,71.34471,,2610,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00019,Wakhan-SSS,Single,"Climate, Cryosphere",36.93463,72.26808,,2763,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00020,Yakawlang-SSS,Single,"Climate, Cryosphere",34.80873,66.71279,,2656,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2013,2023,hourly
AF_1_00021,Band-i-Amir-SSS,Single,"Climate, Cryosphere",34.82068,67.2255,,3079,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
AF_1_00022,Daykundi-SSS,Single,"Climate, Cryosphere",33.66141,66.04271,,2139,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2013,2023,hourly
AF_1_00023,Panjab-SSS,Single,"Climate, Cryosphere",34.38579,67.00852,,2837,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2019,hourly
AF_1_00024,Gardandiwal-SSS,Single,"Climate, Cryosphere",34.49814,68.21102,,2963,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2016,2023,hourly
AF_1_00025,Kotal-i-Hajigak-SSS,Single,"Climate, Cryosphere",34.65611,68.11695,,3256,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2013,2023,hourly
AF_1_00026,Kotal-i-Sabzak-SSS,Single,"Climate, Cryosphere",34.63813,63.11439,,2459,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2013,2018,hourly
AF_1_00027,Alandar-SSS,Single,"Climate, Cryosphere",34.53963,65.1191,,2311,,Afghanistan,,,RESTRICTED,,,Active,"SD, T, RH, W",NA,NA,2012,2023,hourly
433990,PARO,Single,Climate,27.403,89.425,,2235,,Bhutan,ISD,,EXT_NET,https://data.cnra.ca.gov/dataset/integrated-surface-dataset-global,,,"T, P",NA,NA,2010,2022,daily
BT_EWS_00001,Lunana,EWS,GLOF,28.09274,90.227052,,4270,,Bhutan,,,AVAILABLE,,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/GLOF%20EWS%20Doumentation%20Final%20Report%20Version%20_7%20June%202013.pdf,Active,"Q, T, P",NA,NA,2011,2024,NA
BT_EWS_00002,Amocchu,EWS,GLOF,27.135467,89.134396,,880,,Bhutan,,,AVAILABLE,,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/ammochhu.pdf,Active,"Q, T, P",NA,NA,2020,2024,NA
BT_EWS_00003,Mangdecchu,EWS,GLOF,27.60295,90.498807,,2100,,Bhutan,,,AVAILABLE,,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/GLOF%20EWS%20JICA%20Mangdechhu%20and%20Chamkharchhu.pdf,Active,"Q, T, P",NA,NA,2016,2024,NA
BT_EWS_00004,Chamkharchhu,EWS,GLOF,27.858314,90.661677,,3755,,Bhutan,,,AVAILABLE,,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/GLOF%20EWS%20JICA%20Mangdechhu%20and%20Chamkharchhu.pdf,Active,"Q, T, P",NA,NA,2016,2024,NA
BT_1_00001,Dorithasa,Single,Climate,27.14139,89.15079,,1700,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00001,Sibsoo,Single,Climate,27.0019,88.880094,,380,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00003,Samtse,Single,Climate,26.904781,89.076173,,322,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00004,Dorokha,Single,Climate,27.000772,89.20545,,1000,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00005,Chele La,Single,Climate,27.367505,89.349004,,3800,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00006,Haa,Single,Climate,27.385657,89.277116,,2727,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00007,Gunitsawa,Single,Climate,27.569262,89.301834,,2769,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
